2026-03-27 22:48:02 | INFO    | Trial 31 | Starting | Params: {'alpha': 0.060024674911749676, 'gamma': 0.9379915745545768, 'epsilon': 1.0, 'epsilon_decay': 0.9931500005178506, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:48:17 | INFO    | Trial 32 | Starting | Params: {'alpha': 0.20972913700211857, 'gamma': 0.8017681427564294, 'epsilon': 1.0, 'epsilon_decay': 0.9932215291215148, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:48:43 | INFO    | Trial 25 | Finished | Score: -314.44
2026-03-27 22:48:53 | INFO    | Trial 33 | Starting | Params: {'alpha': 0.050682424989247875, 'gamma': 0.93882423444641, 'epsilon': 1.0, 'epsilon_decay': 0.9953767103608004, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:49:26 | INFO    | Trial 26 | Finished | Score: -322.00
2026-03-27 22:49:28 | INFO    | Trial 27 | Finished | Score: -337.62
2026-03-27 22:49:35 | INFO    | Trial 34 | Starting | Params: {'alpha': 0.07853513181603708, 'gamma': 0.9393659507642156, 'epsilon': 1.0, 'epsilon_decay': 0.9952979239972402, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:49:42 | INFO    | Trial 35 | Starting | Params: {'alpha': 0.08638980125788484, 'gamma': 0.9280561849459121, 'epsilon': 1.0, 'epsilon_decay': 0.9951924154148823, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:50:10 | INFO    | Trial 28 | Finished | Score: -332.68
2026-03-27 22:50:21 | INFO    | Trial 29 | Finished | Score: -376.08
2026-03-27 22:50:29 | INFO    | Trial 36 | Starting | Params: {'alpha': 0.08700425662905291, 'gamma': 0.940850497908691, 'epsilon': 1.0, 'epsilon_decay': 0.993732357784686, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:50:41 | INFO    | Trial 30 | Finished | Score: -477.82
2026-03-27 22:50:55 | INFO    | Trial 37 | Starting | Params: {'alpha': 0.2513644996429529, 'gamma': 0.9407598469954869, 'epsilon': 1.0, 'epsilon_decay': 0.9971381363047019, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:50:56 | INFO    | Trial 31 | Finished | Score: -358.20
2026-03-27 22:50:56 | INFO    | Trial 32 | Finished | Score: -372.88
